station_id,station_name,year,month,day,avg_cloudiness,,avg_wind,,avg_temperature,,avg_steam_pressure,,avg_humidity,,avg_air_pressure,,,,day_percipation,,night_percipation
349190650,KASPROWY WIERCH,2019,1,1,6.9,,7.6,,-7.3,,3.4,,92.9,,795.7,,0,8,2.6,,6.7
349190650,KASPROWY WIERCH,2019,1,2,8,,10.3,,-11.5,,2.3,,90,,786.6,,0,8,12.9,,13.1
349190650,KASPROWY WIERCH,2019,1,3,8,,9.6,,-16.1,,1.5,,85.9,,791.2,,0,8,15.6,,7.6
349190650,KASPROWY WIERCH,2019,1,4,7.8,,6.1,,-16,,1.5,,86,,794.7,,0,8,3.1,,4.3
349190650,KASPROWY WIERCH,2019,1,5,8,,6.5,,-9.9,,2.6,,91.4,,788.9,,0,8,12.9,,16.7
349190650,KASPROWY WIERCH,2019,1,6,8,,8.1,,-14.8,,1.7,,87,,790.1,,0,8,12.7,,2.3
349190650,KASPROWY WIERCH,2019,1,7,3,,5.6,,-14.4,,1.8,,87.4,,795.5,,0,8,0,,0.8
349190650,KASPROWY WIERCH,2019,1,8,7.5,,6.6,,-9.5,,2.8,,91.4,,786,,0,8,2.7,,4.8
349190650,KASPROWY WIERCH,2019,1,9,8,,2.4,,-8.9,,2.9,,92.1,,779.8,,0,8,2.8,,1.3
349190650,KASPROWY WIERCH,2019,1,10,8,,5.8,,-11.4,,2.3,,90.1,,786.8,,0,8,3.4,,0.8
349190650,KASPROWY WIERCH,2019,1,11,5.5,,5.3,,-13.7,,1.9,,87.5,,789.1,,0,8,0,,3.6
349190650,KASPROWY WIERCH,2019,1,12,7.9,,5.5,,-9.2,,2.8,,92,,787.2,,0,8,1.5,,1.3
349190650,KASPROWY WIERCH,2019,1,13,8,,7.8,,-7.8,,3.2,,93.3,,780.3,,0,8,1.3,,3.2
349190650,KASPROWY WIERCH,2019,1,14,8,,10.4,,-10.5,,2.6,,90.9,,773.5,,0,8,4.5,,5.6
349190650,KASPROWY WIERCH,2019,1,15,8,,10.9,,-12.9,,2.1,,88.8,,782.8,,0,8,5.2,,6
349190650,KASPROWY WIERCH,2019,1,16,7.6,,9.6,,-6,,3.7,,94.3,,788,,0,8,2.2,,0
349190650,KASPROWY WIERCH,2019,1,17,6.8,,13.1,,-4.7,,3.4,,78.6,,787.5,,0,8,0,,2.2
349190650,KASPROWY WIERCH,2019,1,18,7.8,,5.9,,-10.3,,2.6,,90.1,,788.5,,0,8,1.7,,0.5
349190650,KASPROWY WIERCH,2019,1,19,4.1,,4.1,,-13.6,,1.5,,69.9,,792.8,,0,8,0,,0
349190650,KASPROWY WIERCH,2019,1,20,6.3,,4,,-11.9,,1.8,,74.1,,790.1,,0,8,0.1,,0
